Step,Value
0,-379.6508483886719
1000,-320.27679443359375
2000,17.803329467773438
3000,52.56625747680664
4000,95.39828491210938
5000,101.44181060791016
6000,113.26350402832031
7000,112.20401000976562
8000,113.61332702636719
9000,115.60111236572266
10000,116.02643585205078
11000,116.81634521484375
12000,118.35736846923828
13000,114.4503173828125
14000,112.93745422363281
15000,116.93124389648438
16000,116.54254150390625
17000,118.537109375
18000,119.9778060913086
19000,118.30914306640625
20000,120.79306030273438
21000,116.6562271118164
22000,119.53797912597656
23000,120.95133972167969
24000,123.84661865234375
25000,118.56769561767578
26000,121.4675521850586
27000,121.74272918701172
28000,120.82601928710938
29000,121.4728775024414
30000,120.15495300292969
31000,119.58672332763672
32000,120.40794372558594
33000,119.66563415527344
34000,120.5938949584961
35000,122.43054962158203
36000,119.24956512451172
37000,121.5191421508789
38000,122.44901275634766
39000,120.37298583984375
40000,122.54714965820312
41000,120.26988220214844
42000,119.1522216796875
43000,122.31201934814453
44000,121.01119995117188
45000,122.77953338623047
46000,119.71721649169922
47000,120.11473083496094
48000,120.9800033569336
49000,123.09996795654297
50000,120.21778869628906
51000,120.15103912353516
52000,122.4020004272461
53000,119.22723388671875
54000,121.05794525146484
55000,121.52687072753906
56000,120.7957992553711
57000,122.02159881591797
58000,119.77994537353516
59000,123.55701446533203
60000,120.66575622558594
