Step,Value
0,2.1301193237304688
1000,-1.4305980205535889
2000,-0.5324360728263855
3000,-0.6793472170829773
4000,-0.28315943479537964
5000,-0.31804126501083374
6000,-0.21959896385669708
7000,-0.21903224289417267
8000,-0.2300400286912918
9000,-0.22061534225940704
10000,-0.1907627135515213
11000,-0.016798686236143112
12000,-0.058104466646909714
13000,-0.1909782439470291
14000,-0.1876205950975418
15000,-0.16764302551746368
16000,-0.14026398956775665
17000,-0.18010945618152618
18000,-0.10776372253894806
19000,-0.04708094522356987
20000,-0.11345548927783966
21000,-0.08032675087451935
22000,-0.1377830058336258
23000,-0.10353441536426544
24000,-0.16387410461902618
25000,-0.10281296074390411
26000,-0.13338704407215118
27000,-0.11646623909473419
28000,-0.10410113632678986
29000,-0.14386625587940216
30000,-0.15030904114246368
31000,-0.1423317939043045
32000,-0.09241791069507599
33000,-0.09830160439014435
34000,-0.055458735674619675
35000,-0.1545092612504959
36000,-0.0731925517320633
37000,-0.11409111320972443
38000,-0.13489361107349396
39000,-0.14965148270130157
40000,-0.10236234962940216
41000,-0.12173362076282501
42000,-0.12778563797473907
43000,-0.1240820437669754
44000,-0.122602179646492
45000,-0.064053013920784
46000,-0.1164679080247879
47000,-0.09406943619251251
48000,-0.13479609787464142
49000,-0.10975666344165802
50000,-0.12868161499500275
51000,-0.09741969406604767
52000,-0.09104390442371368
53000,-0.11639352142810822
54000,-0.1389748603105545
55000,-0.10918374359607697
56000,-0.10058899223804474
57000,-0.1322004348039627
58000,-0.12407536804676056
59000,-0.10006804764270782
60000,-0.09311409294605255
