Step,Value
0,-2.702286958694458
1000,40.44252014160156
2000,33.688926696777344
3000,7.826128005981445
4000,-22.947839736938477
5000,-35.76498031616211
6000,-36.52974319458008
7000,-37.561649322509766
8000,-36.09626770019531
9000,-34.06215286254883
10000,-31.040552139282227
11000,-27.50340461730957
12000,-25.113698959350586
13000,-20.441545486450195
14000,-18.759178161621094
15000,-15.057209968566895
16000,-13.178642272949219
17000,-10.593527793884277
18000,-9.701838493347168
19000,-7.778472423553467
20000,-5.684159755706787
21000,-5.903356552124023
22000,-5.8502068519592285
23000,-5.2765092849731445
24000,-5.096999168395996
25000,-5.250375270843506
26000,-5.346907138824463
27000,-6.219851016998291
28000,-7.347870826721191
29000,-8.512940406799316
30000,-9.872781753540039
31000,-10.72050666809082
32000,-11.549447059631348
33000,-12.625106811523438
34000,-13.419055938720703
35000,-14.820174217224121
36000,-16.50369644165039
37000,-17.309364318847656
38000,-18.63219451904297
39000,-19.478092193603516
40000,-19.924362182617188
41000,-22.18046760559082
42000,-22.51432991027832
43000,-23.867965698242188
44000,-24.86565399169922
45000,-25.313793182373047
46000,-26.29010772705078
47000,-26.672775268554688
48000,-27.126686096191406
49000,-27.245542526245117
50000,-27.259178161621094
51000,-28.40500831604004
52000,-29.02046775817871
53000,-27.734159469604492
54000,-29.444326400756836
55000,-28.945173263549805
56000,-28.186389923095703
57000,-29.405195236206055
58000,-30.19437026977539
59000,-29.5551815032959
60000,-29.57647705078125
