Step,Value
0,1.0064892768859863
1000,0.8721227049827576
2000,0.7327413558959961
3000,0.7547269463539124
4000,0.819467306137085
5000,0.8260021805763245
6000,0.7319260239601135
7000,0.6707074642181396
8000,0.6605713963508606
9000,0.6942192316055298
10000,0.6226271986961365
11000,0.5364934206008911
12000,0.4380480945110321
13000,0.44535061717033386
14000,0.44094526767730713
15000,0.31634047627449036
16000,0.28263407945632935
17000,0.05701123923063278
18000,0.08013704419136047
19000,0.06317871809005737
20000,0.025998011231422424
21000,-0.091041199862957
22000,-0.1943180412054062
23000,-0.1778920590877533
24000,-0.304817795753479
25000,-0.5487266778945923
26000,-0.46022361516952515
27000,-0.6735963225364685
28000,-0.759764552116394
29000,-0.8228011131286621
30000,-0.8638890981674194
31000,-1.0048946142196655
32000,-1.060283899307251
33000,-1.098720908164978
34000,-1.199702262878418
35000,-1.295154333114624
36000,-1.274282455444336
37000,-1.3938956260681152
38000,-1.5531190633773804
39000,-1.5910214185714722
40000,-1.6328928470611572
41000,-1.851980209350586
42000,-1.751903772354126
43000,-1.8855736255645752
44000,-1.8458836078643799
45000,-1.940689206123352
46000,-1.9614158868789673
47000,-2.0347914695739746
48000,-1.965151071548462
49000,-1.9712518453598022
50000,-2.039287567138672
51000,-2.001636505126953
52000,-1.8896374702453613
53000,-1.9998176097869873
54000,-1.9577898979187012
55000,-2.0575613975524902
56000,-2.021836280822754
57000,-2.091097593307495
58000,-1.9396775960922241
59000,-2.039801836013794
60000,-2.0257937908172607
