Step,Value
16,-987.4462890625
35,-37.829200744628906
59,53.2348747253418
79,97.03602600097656
99,81.85572052001953
118,93.95713806152344
134,98.46900177001953
155,98.12056732177734
175,109.49000549316406
196,108.30970001220703
220,112.69776916503906
239,110.2989730834961
257,109.58658599853516
276,116.34330749511719
293,114.8626480102539
315,118.40005493164062
338,117.5821762084961
356,120.136474609375
374,119.25068664550781
393,119.89636993408203
413,120.30534362792969
436,120.86036682128906
454,119.92428588867188
477,118.99312591552734
496,121.72948455810547
515,122.94326782226562
537,118.39938354492188
557,119.12396240234375
585,121.48494720458984
605,119.54865264892578
622,122.41972351074219
642,119.856689453125
666,114.160400390625
687,119.61823272705078
707,121.48866271972656
727,119.29193115234375
746,120.83296966552734
769,121.43921661376953
793,119.79267120361328
810,122.68367767333984
828,118.91893005371094
845,120.99409484863281
863,119.83557891845703
881,120.06867980957031
901,122.12060546875
923,120.70965576171875
944,123.05551147460938
961,118.75648498535156
980,121.29307556152344
1001,121.39098358154297
1023,118.96780395507812
1044,120.77635955810547
1062,120.68970489501953
1080,121.63028717041016
1100,121.99662780761719
1121,121.32097625732422
1138,121.10546875
1158,119.73168182373047
1180,121.98329162597656
1204,123.61885070800781
1208,123.29458618164062
