Step,Value
33088,-987.4462890625
65088,-37.829200744628906
97088,53.2348747253418
129088,97.03602600097656
161088,81.85572052001953
193088,93.95713806152344
225088,98.46900177001953
257088,98.12056732177734
289088,109.49000549316406
321088,108.30970001220703
353088,112.69776916503906
385088,110.2989730834961
417088,109.58658599853516
449088,116.34330749511719
481088,114.8626480102539
513088,118.40005493164062
545088,117.5821762084961
577088,120.136474609375
609088,119.25068664550781
641088,119.89636993408203
673088,120.30534362792969
705088,120.86036682128906
737088,119.92428588867188
769088,118.99312591552734
801088,121.72948455810547
833088,122.94326782226562
865088,118.39938354492188
897088,119.12396240234375
929088,121.48494720458984
961088,119.54865264892578
993088,122.41972351074219
1025088,119.856689453125
1057088,114.160400390625
1089088,119.61823272705078
1121088,121.48866271972656
1153088,119.29193115234375
1185088,120.83296966552734
1217088,121.43921661376953
1249088,119.79267120361328
1281088,122.68367767333984
1313088,118.91893005371094
1345088,120.99409484863281
1377088,119.83557891845703
1409088,120.06867980957031
1441088,122.12060546875
1473088,120.70965576171875
1505088,123.05551147460938
1537088,118.75648498535156
1569088,121.29307556152344
1601088,121.39098358154297
1633088,118.96780395507812
1665088,120.77635955810547
1697088,120.68970489501953
1729088,121.63028717041016
1761088,121.99662780761719
1793088,121.32097625732422
1825088,121.10546875
1857088,119.73168182373047
1889088,121.98329162597656
1921088,123.61885070800781
1921088,123.29458618164062
