Step,Value
0,-987.4462890625
256000,-37.829200744628906
512000,53.2348747253418
768000,97.03602600097656
1024000,81.85572052001953
1280000,93.95713806152344
1536000,98.46900177001953
1792000,98.12056732177734
2048000,109.49000549316406
2304000,108.30970001220703
2560000,112.69776916503906
2816000,110.2989730834961
3072000,109.58658599853516
3328000,116.34330749511719
3584000,114.8626480102539
3840000,118.40005493164062
4096000,117.5821762084961
4352000,120.136474609375
4608000,119.25068664550781
4864000,119.89636993408203
5120000,120.30534362792969
5376000,120.86036682128906
5632000,119.92428588867188
5888000,118.99312591552734
6144000,121.72948455810547
6400000,122.94326782226562
6656000,118.39938354492188
6912000,119.12396240234375
7168000,121.48494720458984
7424000,119.54865264892578
7680000,122.41972351074219
7936000,119.856689453125
8192000,114.160400390625
8448000,119.61823272705078
8704000,121.48866271972656
8960000,119.29193115234375
9216000,120.83296966552734
9472000,121.43921661376953
9728000,119.79267120361328
9984000,122.68367767333984
10240000,118.91893005371094
10496000,120.99409484863281
10752000,119.83557891845703
11008000,120.06867980957031
11264000,122.12060546875
11520000,120.70965576171875
11776000,123.05551147460938
12032000,118.75648498535156
12288000,121.29307556152344
12544000,121.39098358154297
12800000,118.96780395507812
13056000,120.77635955810547
13312000,120.68970489501953
13568000,121.63028717041016
13824000,121.99662780761719
14080000,121.32097625732422
14336000,121.10546875
14592000,119.73168182373047
14848000,121.98329162597656
15104000,123.61885070800781
15360000,123.29458618164062
