Step,Value
0,0.0
1000,7.468966960906982
2000,8.071958541870117
3000,9.185629844665527
4000,5.228539943695068
5000,5.517399311065674
6000,7.655700206756592
7000,8.043063163757324
8000,4.818432807922363
9000,10.046663284301758
10000,5.185861110687256
11000,8.564727783203125
12000,5.694860935211182
13000,5.3149518966674805
14000,5.265568256378174
15000,5.275751113891602
16000,4.330970764160156
17000,5.558888912200928
18000,6.458157062530518
19000,9.04738998413086
20000,5.608937740325928
21000,5.627926826477051
22000,4.530131816864014
23000,7.782116889953613
24000,4.778592109680176
25000,4.978503227233887
26000,5.383378982543945
27000,3.869495153427124
28000,7.6410908699035645
29000,5.457265853881836
30000,5.693335056304932
31000,5.472693920135498
32000,5.293542861938477
33000,6.076666831970215
34000,5.836965084075928
35000,5.141350746154785
36000,6.933879852294922
37000,5.4256768226623535
38000,5.743009090423584
39000,6.949231147766113
40000,6.292643070220947
41000,4.520493030548096
42000,6.713884353637695
43000,5.6588521003723145
44000,8.346711158752441
45000,5.31559419631958
46000,5.877782821655273
47000,5.253346920013428
48000,5.182430744171143
49000,9.176149368286133
50000,6.054190158843994
51000,5.213842868804932
52000,4.7344889640808105
53000,4.685102939605713
54000,5.6159348487854
55000,6.268828392028809
56000,5.891244888305664
57000,6.2769880294799805
58000,5.181211948394775
59000,5.080475807189941
60000,7.35218620300293
