Step,Value
0,2.145594358444214
1000,-0.8266081213951111
2000,0.01679067686200142
3000,-0.41927069425582886
4000,-0.524845540523529
5000,-0.5072264075279236
6000,-0.18411417305469513
7000,-0.14029903709888458
8000,-0.17227835953235626
9000,-0.2619406580924988
10000,-0.12469001114368439
11000,-0.00582427904009819
12000,-0.12243862450122833
13000,-0.01663036271929741
14000,-0.09964390099048615
15000,0.0027294643223285675
16000,-0.08579869568347931
17000,0.006547022610902786
18000,-0.09579391777515411
19000,-0.18843789398670197
20000,-0.014058303087949753
21000,-0.17224569618701935
22000,-0.10924668610095978
23000,-0.12839026749134064
24000,-0.07553310692310333
25000,-0.11009092628955841
26000,-0.09779615700244904
27000,-0.05187864229083061
28000,-0.05410737916827202
29000,-0.12077875435352325
30000,-0.10055847465991974
31000,-0.11149807274341583
32000,-0.10187478363513947
33000,-0.09270043671131134
34000,-0.045645665377378464
35000,-0.10409827530384064
36000,-0.11290188133716583
37000,-0.12205000221729279
38000,-0.167521670460701
39000,-0.11966390907764435
40000,-0.10269518196582794
41000,-0.11527343094348907
42000,-0.10354538261890411
43000,-0.08966703712940216
44000,-0.08435983955860138
45000,-0.12755794823169708
46000,-0.1375247985124588
47000,-0.11155195534229279
48000,-0.10835094749927521
49000,-0.10160894691944122
50000,-0.11827273666858673
51000,-0.12317104637622833
52000,-0.15921564400196075
53000,-0.12692613899707794
54000,-0.1551794558763504
55000,-0.13926120102405548
56000,-0.11507387459278107
57000,-0.11945147812366486
58000,-0.06140322610735893
59000,-0.12442941963672638
60000,-0.13814158737659454
