Step,Value
22,-643.3657836914062
46,-209.58407592773438
70,-65.91587829589844
94,23.900999069213867
116,52.922828674316406
140,91.26899719238281
163,88.61865997314453
187,96.0865707397461
209,107.44281005859375
233,107.77460479736328
257,109.65911102294922
281,113.25491333007812
306,115.45327758789062
330,114.51164245605469
352,111.71368408203125
375,112.10678100585938
398,118.34397888183594
422,118.60980987548828
445,118.02167510986328
468,117.09954833984375
491,118.96968078613281
514,113.44348907470703
537,116.59619903564453
562,119.61822509765625
584,124.46961975097656
608,119.36471557617188
632,122.04396057128906
656,122.55121612548828
680,121.23265075683594
703,119.09408569335938
727,117.98954772949219
750,120.02605438232422
774,122.97300720214844
798,120.0879135131836
820,120.22862243652344
844,121.99375915527344
868,118.558837890625
891,120.89907836914062
915,120.49821472167969
939,119.87012481689453
964,122.70294189453125
987,120.717529296875
1011,120.43130493164062
1034,121.9072036743164
1059,121.07988739013672
1081,122.37478637695312
1104,119.54615783691406
1129,120.72052001953125
1152,120.98210144042969
1175,123.25263214111328
1198,120.54376220703125
1221,119.87939453125
1244,121.82793426513672
1268,119.4560775756836
1290,120.08766174316406
1313,121.49080657958984
1338,121.00402069091797
1362,122.57416534423828
1387,120.17008209228516
1410,123.0503158569336
1414,120.61741638183594
