Step,Value
33088,-295.87554931640625
65088,-232.57810974121094
97088,9.468607902526855
129088,30.658355712890625
161088,84.11124420166016
193088,91.55087280273438
225088,99.18468475341797
257088,105.89698028564453
289088,104.92733764648438
321088,108.31695556640625
353088,113.38813781738281
385088,114.97736358642578
417088,111.62877655029297
449088,118.5642318725586
481088,113.71381378173828
513088,117.27418518066406
545088,118.00438690185547
577088,116.47530364990234
609088,113.21589660644531
641088,115.07090759277344
673088,113.08992004394531
705088,117.76454162597656
737088,118.67962646484375
769088,118.40876770019531
801088,118.58113861083984
833088,120.20024871826172
865088,120.78742218017578
897088,120.69291687011719
929088,123.20904541015625
961088,117.17633819580078
993088,113.13037872314453
1025088,121.79685974121094
1057088,118.55517578125
1089088,121.1285629272461
1121088,120.51392364501953
1153088,119.33934020996094
1185088,121.01612091064453
1217088,121.56133270263672
1249088,120.82987213134766
1281088,121.40914154052734
1313088,120.69313049316406
1345088,120.87625122070312
1377088,120.64422607421875
1409088,121.02128601074219
1441088,118.11991882324219
1473088,122.29389190673828
1505088,116.04910278320312
1537088,121.54975128173828
1569088,117.45149230957031
1601088,121.27775573730469
1633088,119.55928802490234
1665088,121.22277069091797
1697088,119.98796081542969
1729088,120.62305450439453
1761088,118.30320739746094
1793088,122.8929214477539
1825088,123.59881591796875
1857088,120.2618637084961
1889088,122.88127136230469
1921088,121.06157684326172
1921088,117.89797973632812
