Step,Value
0,-225.15415954589844
256000,-266.5337829589844
512000,-143.70498657226562
768000,15.965946197509766
1024000,75.07284545898438
1280000,87.27376556396484
1536000,103.9448013305664
1792000,97.69541931152344
2048000,109.41728210449219
2304000,106.67236328125
2560000,112.75159454345703
2816000,110.45057678222656
3072000,111.84852600097656
3328000,117.01006317138672
3584000,113.51666259765625
3840000,117.97108459472656
4096000,113.64640045166016
4352000,115.97029876708984
4608000,113.38227081298828
4864000,118.1583480834961
5120000,117.15155029296875
5376000,116.8729476928711
5632000,116.66893005371094
5888000,118.51727294921875
6144000,121.34619140625
6400000,121.01752471923828
6656000,117.97693634033203
6912000,118.9981918334961
7168000,121.67896270751953
7424000,118.82157897949219
7680000,122.95603942871094
7936000,119.80026245117188
8192000,112.21031188964844
8448000,118.0167465209961
8704000,121.42241668701172
8960000,118.58892822265625
9216000,121.04595184326172
9472000,121.91864776611328
9728000,118.50420379638672
9984000,121.74539947509766
10240000,120.71986389160156
10496000,121.06937408447266
10752000,119.34076690673828
11008000,119.0146255493164
11264000,122.06539916992188
11520000,120.87419128417969
11776000,122.50440979003906
12032000,118.78573608398438
12288000,121.40628051757812
12544000,122.00607299804688
12800000,120.01888275146484
13056000,121.2719955444336
13312000,120.73478698730469
13568000,121.23057556152344
13824000,122.19389343261719
14080000,121.28114318847656
14336000,121.46488189697266
14592000,119.52424621582031
14848000,121.85482025146484
15104000,123.12248992919922
15360000,122.33551788330078
