Step,Value
0,-1.1512365341186523
1000,41.4021110534668
2000,32.404998779296875
3000,19.660844802856445
4000,-12.365265846252441
5000,-31.453153610229492
6000,-34.94699478149414
7000,-37.45005416870117
8000,-37.140838623046875
9000,-34.27011489868164
10000,-32.540462493896484
11000,-29.092397689819336
12000,-26.97730827331543
13000,-23.23397445678711
14000,-20.174701690673828
15000,-17.952407836914062
16000,-15.010965347290039
17000,-14.005388259887695
18000,-11.642560958862305
19000,-10.050165176391602
20000,-8.762181282043457
21000,-8.187928199768066
22000,-8.005011558532715
23000,-6.655076026916504
24000,-6.781157970428467
25000,-7.654763221740723
26000,-7.067808151245117
27000,-7.916743278503418
28000,-7.819033145904541
29000,-9.850324630737305
30000,-9.720526695251465
31000,-11.97655963897705
32000,-12.815452575683594
33000,-13.963358879089355
34000,-14.578659057617188
35000,-15.868529319763184
36000,-16.842639923095703
37000,-18.602022171020508
38000,-19.08426856994629
39000,-19.472126007080078
40000,-21.678171157836914
41000,-22.239303588867188
42000,-23.707714080810547
43000,-23.82855987548828
44000,-24.513248443603516
45000,-25.072154998779297
46000,-25.919015884399414
47000,-26.299697875976562
48000,-26.416030883789062
49000,-26.850486755371094
50000,-27.563026428222656
51000,-28.24343490600586
52000,-26.610639572143555
53000,-27.83664894104004
54000,-27.711973190307617
55000,-28.4621639251709
56000,-27.86792755126953
57000,-27.43758201599121
58000,-27.548093795776367
59000,-27.428085327148438
60000,-28.744184494018555
