Step,Value
0,0.0
1000,4.906854152679443
2000,5.244039058685303
3000,4.339144229888916
4000,6.944896697998047
5000,8.802151679992676
6000,4.170458793640137
7000,5.330565929412842
8000,5.7143168449401855
9000,6.722185134887695
10000,4.789659023284912
11000,5.858973979949951
12000,6.710366249084473
13000,4.91671085357666
14000,5.813714981079102
15000,7.11193323135376
16000,4.730101108551025
17000,5.154016017913818
18000,4.771323204040527
19000,7.087617874145508
20000,6.346874237060547
21000,6.990999698638916
22000,4.4497599601745605
23000,4.416435241699219
24000,6.877284049987793
25000,6.257955074310303
26000,4.859744071960449
27000,7.169576168060303
28000,4.287031173706055
29000,6.032413959503174
30000,4.9954118728637695
31000,4.355661869049072
32000,6.059098243713379
33000,6.740146160125732
34000,6.834646224975586
35000,5.039102077484131
36000,6.725511074066162
37000,6.660819053649902
38000,4.867384910583496
39000,6.403318881988525
40000,4.6298136711120605
41000,7.081265926361084
42000,4.427685737609863
43000,6.436957836151123
44000,7.434855937957764
45000,6.846344947814941
46000,6.10276985168457
47000,4.486997127532959
48000,4.346531867980957
49000,6.258609771728516
50000,7.049800872802734
51000,5.0986328125
52000,4.3312201499938965
53000,4.800962924957275
54000,4.728617191314697
55000,6.8157830238342285
56000,7.541172027587891
57000,9.069131851196289
58000,6.144357204437256
59000,4.880040168762207
60000,5.019983768463135
