Step,Value
0,1.0194287300109863
1000,0.830194354057312
2000,0.6776173114776611
3000,0.6937581896781921
4000,0.808731734752655
5000,0.7252647876739502
6000,0.747421145439148
7000,0.7258395552635193
8000,0.6806439161300659
9000,0.6208014488220215
10000,0.5819240212440491
11000,0.5212604403495789
12000,0.5082923173904419
13000,0.4797471761703491
14000,0.3814465403556824
15000,0.3213158845901489
16000,0.2517758309841156
17000,0.19150051474571228
18000,0.1267477571964264
19000,0.033085934817790985
20000,0.005768969655036926
21000,-0.14573490619659424
22000,-0.17217044532299042
23000,-0.2714843451976776
24000,-0.3661445081233978
25000,-0.415569543838501
26000,-0.5288415551185608
27000,-0.6046199202537537
28000,-0.6545398235321045
29000,-0.7723841667175293
30000,-0.8391543626785278
31000,-0.9021658301353455
32000,-0.9803310036659241
33000,-1.0836164951324463
34000,-1.2384774684906006
35000,-1.2827763557434082
36000,-1.310879111289978
37000,-1.5308327674865723
38000,-1.4231367111206055
39000,-1.6188082695007324
40000,-1.6643567085266113
41000,-1.7520211935043335
42000,-1.8658385276794434
43000,-1.9756120443344116
44000,-1.8618009090423584
45000,-1.8869526386260986
46000,-1.9842218160629272
47000,-2.0191149711608887
48000,-2.0391409397125244
49000,-1.9703454971313477
50000,-1.9639021158218384
51000,-1.9975740909576416
52000,-2.007096529006958
53000,-2.0042552947998047
54000,-1.9728481769561768
55000,-1.9544355869293213
56000,-1.9957267045974731
57000,-2.00937819480896
58000,-1.9551827907562256
59000,-1.9670307636260986
60000,-1.9807703495025635
