Step,Value
0,-2.508967161178589
1000,68.41188049316406
2000,49.58115005493164
3000,32.20033264160156
4000,14.725354194641113
5000,9.455145835876465
6000,9.044404983520508
7000,6.97178840637207
8000,6.814223289489746
9000,6.919772624969482
10000,6.014623165130615
11000,4.368741035461426
12000,2.285633087158203
13000,0.4098842442035675
14000,-1.696969985961914
15000,-4.93149471282959
16000,-9.181990623474121
17000,-10.87425422668457
18000,-14.164066314697266
19000,-18.249755859375
20000,-20.531776428222656
21000,-23.248010635375977
22000,-24.582969665527344
23000,-26.709054946899414
24000,-28.023176193237305
25000,-28.122886657714844
26000,-28.351247787475586
27000,-29.83064079284668
28000,-29.326847076416016
29000,-29.488067626953125
30000,-28.67768096923828
31000,-28.578365325927734
32000,-28.54724884033203
33000,-27.437393188476562
34000,-28.387489318847656
35000,-27.589635848999023
36000,-28.522422790527344
37000,-28.72214126586914
38000,-27.279340744018555
39000,-27.371931076049805
40000,-26.665569305419922
41000,-26.20091438293457
42000,-26.580440521240234
43000,-27.19026756286621
44000,-27.44989013671875
45000,-27.068506240844727
46000,-26.423620223999023
47000,-27.015745162963867
48000,-26.22314453125
49000,-26.02149772644043
50000,-26.08873176574707
51000,-26.901247024536133
52000,-27.1533145904541
53000,-26.4245662689209
54000,-27.059186935424805
55000,-26.781330108642578
56000,-27.308792114257812
57000,-27.201461791992188
58000,-26.989805221557617
59000,-27.460845947265625
60000,-27.05935287475586
