Step,Value
0,0.9369693994522095
1000,0.6999256610870361
2000,0.5876187682151794
3000,0.611303985118866
4000,0.7668031454086304
5000,0.5452330708503723
6000,0.41580235958099365
7000,0.35922735929489136
8000,0.2659425735473633
9000,0.06660711765289307
10000,-0.07859287410974503
11000,-0.22122211754322052
12000,-0.3659886419773102
13000,-0.3846806287765503
14000,-0.6841818690299988
15000,-0.8217698335647583
16000,-0.9928480982780457
17000,-1.101290225982666
18000,-1.4099959135055542
19000,-1.359673023223877
20000,-1.6576329469680786
21000,-1.7167713642120361
22000,-1.821073293685913
23000,-1.851757287979126
24000,-1.853001594543457
25000,-1.9730688333511353
26000,-2.0504376888275146
27000,-1.9826416969299316
28000,-1.9935588836669922
29000,-2.032209634780884
30000,-2.075538158416748
31000,-1.9109359979629517
32000,-2.0550642013549805
33000,-1.9741933345794678
34000,-1.926468849182129
35000,-2.0787761211395264
36000,-1.9946414232254028
37000,-2.0615570545196533
38000,-1.9840366840362549
39000,-1.9877196550369263
40000,-1.99826979637146
41000,-1.9873865842819214
42000,-1.9960201978683472
43000,-1.974588394165039
44000,-1.9988341331481934
45000,-2.0822482109069824
46000,-2.0412838459014893
47000,-2.062062978744507
48000,-1.9065487384796143
49000,-2.045842170715332
50000,-2.023318290710449
51000,-2.0765182971954346
52000,-2.0183589458465576
53000,-1.9332189559936523
54000,-2.1128547191619873
55000,-1.9431480169296265
56000,-1.990144968032837
57000,-1.9262362718582153
58000,-1.927996277809143
59000,-1.9370471239089966
60000,-2.009610176086426
