Step,Value
0,2.7835018634796143
1000,-0.5131847262382507
2000,-0.2244247943162918
3000,-0.283979594707489
4000,-0.20889420807361603
5000,-0.1815626174211502
6000,-0.10207457840442657
7000,-0.20654983818531036
8000,-0.2665941119194031
9000,-0.20964117348194122
10000,-0.07296653091907501
11000,-0.2256152182817459
12000,-0.17451710999011993
13000,-0.05234117433428764
14000,-0.154126837849617
15000,-0.10619659721851349
16000,-0.1405314952135086
17000,-0.22776980698108673
18000,-0.1374334841966629
19000,-0.1049782782793045
20000,-0.07467789947986603
21000,-0.15315695106983185
22000,-0.18361563980579376
23000,-0.13763470947742462
24000,-0.09480352699756622
25000,-0.08737750351428986
26000,-0.12058325111865997
27000,-0.09679646790027618
28000,-0.15988369286060333
29000,-0.15828152000904083
30000,-0.14823241531848907
31000,-0.20453067123889923
32000,-0.134762242436409
33000,-0.1530720740556717
34000,-0.12169523537158966
35000,-0.1223735362291336
36000,-0.16524167358875275
37000,-0.14926214516162872
38000,-0.1607322245836258
39000,-0.1273788958787918
40000,-0.12270064651966095
41000,-0.12494058907032013
42000,-0.10889573395252228
43000,-0.1287662535905838
44000,-0.10634632408618927
45000,-0.0974854975938797
46000,-0.13066597282886505
47000,-0.12999339401721954
48000,-0.13440461456775665
49000,-0.11248226463794708
50000,-0.11350889503955841
51000,-0.08351631462574005
52000,-0.1356479674577713
53000,-0.14851517975330353
54000,-0.12683768570423126
55000,-0.11886139214038849
56000,-0.11800976097583771
57000,-0.11879487335681915
58000,-0.11463232338428497
59000,-0.12140150368213654
60000,-0.12146039307117462
