Step,Value
20,-456.446533203125
39,-391.1358947753906
58,63.234474182128906
75,79.52159118652344
95,91.27709197998047
114,109.09601593017578
134,108.00199890136719
152,108.35469055175781
172,118.49193572998047
191,116.14043426513672
210,122.14405059814453
227,120.3139877319336
245,117.85757446289062
265,120.57301330566406
285,119.92913055419922
305,122.89166259765625
325,115.45692443847656
345,117.87110137939453
365,118.41332244873047
385,122.6185531616211
404,119.92310333251953
423,119.2108383178711
442,118.04064178466797
463,118.82144927978516
482,122.99768829345703
502,122.60933685302734
521,118.40843200683594
541,119.43145751953125
561,121.20987701416016
580,118.92989349365234
601,121.32133483886719
620,119.27106475830078
640,113.81018829345703
658,118.98403930664062
677,119.15082550048828
697,118.00045013427734
717,120.33175659179688
738,121.73450469970703
756,118.59254455566406
776,123.25615692138672
795,120.76960754394531
812,122.24147033691406
832,121.1588363647461
851,120.58797454833984
870,123.23734283447266
886,121.83196258544922
906,123.67244720458984
924,119.30718994140625
940,122.37884521484375
957,122.60859680175781
977,120.96022033691406
994,121.79316711425781
1014,121.1040267944336
1033,121.5975341796875
1050,122.46269989013672
1064,121.37393951416016
1081,121.9069595336914
1099,120.73677062988281
1120,122.62419891357422
1140,123.8576889038086
1142,123.22654724121094
