Step,Value
0,-456.446533203125
256000,-391.1358947753906
512000,63.234474182128906
768000,79.52159118652344
1024000,91.27709197998047
1280000,109.09601593017578
1536000,108.00199890136719
1792000,108.35469055175781
2048000,118.49193572998047
2304000,116.14043426513672
2560000,122.14405059814453
2816000,120.3139877319336
3072000,117.85757446289062
3328000,120.57301330566406
3584000,119.92913055419922
3840000,122.89166259765625
4096000,115.45692443847656
4352000,117.87110137939453
4608000,118.41332244873047
4864000,122.6185531616211
5120000,119.92310333251953
5376000,119.2108383178711
5632000,118.04064178466797
5888000,118.82144927978516
6144000,122.99768829345703
6400000,122.60933685302734
6656000,118.40843200683594
6912000,119.43145751953125
7168000,121.20987701416016
7424000,118.92989349365234
7680000,121.32133483886719
7936000,119.27106475830078
8192000,113.81018829345703
8448000,118.98403930664062
8704000,119.15082550048828
8960000,118.00045013427734
9216000,120.33175659179688
9472000,121.73450469970703
9728000,118.59254455566406
9984000,123.25615692138672
10240000,120.76960754394531
10496000,122.24147033691406
10752000,121.1588363647461
11008000,120.58797454833984
11264000,123.23734283447266
11520000,121.83196258544922
11776000,123.67244720458984
12032000,119.30718994140625
12288000,122.37884521484375
12544000,122.60859680175781
12800000,120.96022033691406
13056000,121.79316711425781
13312000,121.1040267944336
13568000,121.5975341796875
13824000,122.46269989013672
14080000,121.37393951416016
14336000,121.9069595336914
14592000,120.73677062988281
14848000,122.62419891357422
15104000,123.8576889038086
15360000,123.22654724121094
