Step,Value
0,-553.4048461914062
1000,-108.67117309570312
2000,59.707801818847656
3000,-282.6828308105469
4000,76.45556640625
5000,96.00682830810547
6000,96.80498504638672
7000,104.9081039428711
8000,104.21244812011719
9000,112.32363891601562
10000,117.62340545654297
11000,116.66239166259766
12000,117.25746154785156
13000,113.65045928955078
14000,115.60401916503906
15000,120.11896514892578
16000,115.7669448852539
17000,121.77691650390625
18000,119.53364562988281
19000,115.2139663696289
20000,118.90147399902344
21000,120.03992462158203
22000,120.23656463623047
23000,119.36162567138672
24000,118.67639923095703
25000,119.60559844970703
26000,116.38013458251953
27000,120.3270492553711
28000,120.14617156982422
29000,117.30919647216797
30000,119.765380859375
31000,120.44764709472656
32000,120.06539154052734
33000,122.79056549072266
34000,119.71598815917969
35000,118.87997436523438
36000,119.6705322265625
37000,120.36040496826172
38000,119.9512939453125
39000,121.30204010009766
40000,122.17774200439453
41000,118.90648651123047
42000,118.4953384399414
43000,119.57882690429688
44000,122.8346176147461
45000,121.75277709960938
46000,121.25836944580078
47000,121.16041564941406
48000,122.6039810180664
49000,123.27852630615234
50000,123.03349304199219
51000,121.48987579345703
52000,119.52227020263672
53000,122.5346908569336
54000,118.91767883300781
55000,120.34125518798828
56000,121.14949798583984
57000,120.73735046386719
58000,120.74742889404297
59000,121.37114715576172
60000,122.80779266357422
