Step,Value
0,0.0
0,28.402090072631836
1000,11.53564453125
2000,14.009952545166016
3000,12.998342514038086
4000,11.516571044921875
5000,12.271642684936523
6000,13.263463973999023
7000,12.858867645263672
8000,12.785911560058594
9000,12.733936309814453
10000,11.921405792236328
11000,20.49422264099121
12000,12.437105178833008
13000,26.405811309814453
14000,11.843681335449219
15000,10.864496231079102
16000,12.079000473022461
17000,12.886285781860352
18000,14.287710189819336
19000,13.09657096862793
20000,12.953042984008789
21000,13.16976547241211
22000,11.64698600769043
23000,12.74728775024414
24000,13.464212417602539
25000,27.902603149414062
26000,11.600732803344727
27000,13.136863708496094
28000,26.426076889038086
29000,11.570453643798828
30000,12.85696029663086
31000,13.164281845092773
32000,12.472867965698242
33000,20.844459533691406
34000,20.95818519592285
35000,26.524066925048828
36000,12.590885162353516
37000,11.600017547607422
38000,13.245820999145508
39000,27.396202087402344
40000,22.121906280517578
41000,13.631105422973633
42000,12.647390365600586
43000,20.75982093811035
44000,17.011642456054688
45000,20.958662033081055
46000,24.89638328552246
47000,21.93474769592285
48000,26.89528465270996
49000,27.47178077697754
50000,27.23979949951172
51000,12.676477432250977
52000,11.908531188964844
53000,11.138677597045898
54000,11.353492736816406
55000,12.148380279541016
56000,13.238906860351562
57000,12.642860412597656
58000,10.301589965820312
59000,12.00246810913086
60000,13.309478759765625
