Step,Value
0,2.5943729877471924
1000,2.5014562606811523
2000,-0.5497698187828064
3000,-0.2462751418352127
4000,-0.39078110456466675
5000,-0.08465142548084259
6000,0.006025839596986771
7000,-0.3785077929496765
8000,-0.31901901960372925
9000,-0.5092348456382751
10000,-0.17050381004810333
11000,-0.28108423948287964
12000,-0.2951504588127136
13000,-0.12028332054615021
14000,-0.2631825804710388
15000,-0.2584370970726013
16000,-0.2620500922203064
17000,-0.1960863620042801
18000,-0.2606205344200134
19000,-0.2566935420036316
20000,-0.17996592819690704
21000,-0.2259633094072342
22000,-0.29821866750717163
23000,-0.2200271636247635
24000,-0.09275217354297638
25000,-0.2600499987602234
26000,-0.3388945460319519
27000,-0.21990294754505157
28000,-0.19321008026599884
29000,-0.04863710328936577
30000,-0.2962908148765564
31000,-0.3105258345603943
32000,-0.12955708801746368
33000,-0.20145268738269806
34000,-0.16534920036792755
35000,-0.18090029060840607
36000,-0.12844796478748322
37000,-0.09582825005054474
38000,-0.09630723297595978
39000,-0.29575127363204956
40000,-0.2921697497367859
41000,-0.27194684743881226
42000,-0.12610836327075958
43000,-0.0678073912858963
44000,-0.12139005959033966
45000,-0.23389621078968048
46000,-0.24588771164417267
47000,-0.18938083946704865
48000,-0.19316931068897247
49000,-0.11660142242908478
50000,-0.08074064552783966
51000,-0.15584321320056915
52000,-0.20386023819446564
53000,-0.2153582125902176
54000,-0.19600696861743927
55000,-0.17772479355335236
56000,-0.1625492125749588
57000,-0.15189118683338165
58000,-0.11376519501209259
59000,-0.07211871445178986
60000,-0.19584842026233673
