Step,Value
0,-2.697284460067749
1000,22.31333351135254
2000,18.509119033813477
3000,4.497452735900879
4000,-17.41963005065918
5000,-26.418359756469727
6000,-30.618568420410156
7000,-21.671714782714844
8000,-16.862873077392578
9000,-11.41032600402832
10000,-3.2021920680999756
11000,5.437212944030762
12000,9.024206161499023
13000,13.727248191833496
14000,18.278305053710938
15000,20.049713134765625
16000,22.59253692626953
17000,24.17525863647461
18000,23.024808883666992
19000,24.372217178344727
20000,25.98086166381836
21000,25.181711196899414
22000,23.22405242919922
23000,22.927749633789062
24000,20.86614418029785
25000,18.825332641601562
26000,17.935171127319336
27000,16.689876556396484
28000,14.572041511535645
29000,13.9602632522583
30000,12.056473731994629
31000,11.900001525878906
32000,8.292133331298828
33000,6.234864234924316
34000,3.4144821166992188
35000,1.3762106895446777
36000,-0.6990699172019958
37000,-2.751769542694092
38000,-4.548710346221924
39000,-6.310837268829346
40000,-8.06584358215332
41000,-9.875850677490234
42000,-11.942954063415527
43000,-13.218576431274414
44000,-14.610955238342285
45000,-15.598750114440918
46000,-16.99116325378418
47000,-18.065061569213867
48000,-18.788965225219727
49000,-19.395071029663086
50000,-19.501373291015625
51000,-19.452924728393555
52000,-19.60165786743164
53000,-19.879249572753906
54000,-19.856704711914062
55000,-20.399446487426758
56000,-20.423355102539062
57000,-20.679040908813477
58000,-21.135774612426758
59000,-21.449615478515625
60000,-21.79667091369629
