Step,Value
0,-147.54669189453125
256000,-122.55912780761719
512000,11.524537086486816
768000,45.97774887084961
1024000,53.17601776123047
1280000,52.724578857421875
1536000,54.19595718383789
1792000,52.90842819213867
2048000,57.820735931396484
2304000,60.57489776611328
2560000,58.15916061401367
2816000,58.78457260131836
3072000,58.95807647705078
3328000,61.51615524291992
3584000,61.41587448120117
3840000,63.278770446777344
4096000,62.53255844116211
4352000,63.3825569152832
4608000,64.85650634765625
4864000,64.8553466796875
5120000,64.0125503540039
5376000,65.35389709472656
5632000,65.38729858398438
5888000,64.57447814941406
6144000,63.62122344970703
6400000,47.933109283447266
6656000,64.75042724609375
6912000,64.51335906982422
7168000,66.1554183959961
7424000,66.60491180419922
7680000,65.85713195800781
7936000,66.4849853515625
8192000,67.46770477294922
8448000,67.54383087158203
8704000,67.97346496582031
8960000,68.18245697021484
9216000,68.12576293945312
9472000,66.90834045410156
9728000,67.82508850097656
9984000,68.50057220458984
10240000,68.35369873046875
10496000,67.6510009765625
10752000,67.75601196289062
11008000,68.56692504882812
11264000,68.40420532226562
11520000,68.0906982421875
11776000,68.47084045410156
12032000,68.2213134765625
12288000,68.20670318603516
12544000,68.80040740966797
12800000,68.56221008300781
13056000,68.6192626953125
13312000,68.60816955566406
13568000,68.52388000488281
13824000,68.72236633300781
14080000,68.59133911132812
14336000,68.68119812011719
14592000,68.54529571533203
14848000,68.55547332763672
15104000,68.76673889160156
15360000,68.81845092773438
