Step,Value
0,0.9695188999176025
1000,0.8616352081298828
2000,0.7041555643081665
3000,0.7045663595199585
4000,0.7110629081726074
5000,0.7848156690597534
6000,0.7352157831192017
7000,0.6575725674629211
8000,0.6568036079406738
9000,0.7189170122146606
10000,0.5836097598075867
11000,0.5635914206504822
12000,0.5074806213378906
13000,0.5197883248329163
14000,0.48851272463798523
15000,0.3801259696483612
16000,0.3409385085105896
17000,0.11473552137613297
18000,0.1400553435087204
19000,0.10361125320196152
20000,0.08774170279502869
21000,-0.07550503313541412
22000,-0.18002359569072723
23000,-0.14555855095386505
24000,-0.27504050731658936
25000,-0.4870767295360565
26000,-0.43351614475250244
27000,-0.6374216675758362
28000,-0.7439742088317871
29000,-0.7902597188949585
30000,-0.8223636150360107
31000,-0.9299480319023132
32000,-1.018000841140747
33000,-1.0707323551177979
34000,-1.131616473197937
35000,-1.2537293434143066
36000,-1.2652987241744995
37000,-1.3916544914245605
38000,-1.558010458946228
39000,-1.5631182193756104
40000,-1.6000667810440063
41000,-1.8414782285690308
42000,-1.7461791038513184
43000,-1.8707208633422852
44000,-1.803139090538025
45000,-1.9598989486694336
46000,-1.988258719444275
47000,-2.021474599838257
48000,-1.9642705917358398
49000,-1.952156662940979
50000,-2.0324182510375977
51000,-2.012855052947998
52000,-1.8746402263641357
53000,-1.9923577308654785
54000,-1.957912564277649
55000,-2.040537118911743
56000,-1.9783611297607422
57000,-2.0615007877349854
58000,-1.9568309783935547
59000,-2.0472657680511475
60000,-2.029484748840332
