Step,Value
23,-111.82123565673828
42,-102.33978271484375
62,6.3685102462768555
83,45.93324279785156
107,48.347572326660156
128,49.75978469848633
149,52.18303680419922
171,54.638328552246094
193,59.051902770996094
214,59.2094612121582
236,59.1251335144043
257,60.82423782348633
283,57.89019012451172
304,61.374053955078125
327,61.18490982055664
346,62.484500885009766
373,62.102378845214844
395,60.2554931640625
418,61.97225570678711
435,61.301292419433594
457,63.48075485229492
479,63.685123443603516
503,63.663814544677734
526,62.15857696533203
550,63.7588996887207
571,62.337158203125
590,65.06257629394531
613,64.90250396728516
636,64.69913482666016
657,65.74394989013672
678,65.364990234375
705,65.5999526977539
728,66.36813354492188
749,66.90615844726562
771,66.17994689941406
792,66.54737854003906
815,66.59809875488281
834,67.46533966064453
856,67.41682434082031
879,67.92937469482422
900,67.58948516845703
923,67.66870880126953
942,68.18431091308594
962,68.29573059082031
985,67.04087829589844
1007,66.58149719238281
1028,68.1738052368164
1046,68.31622314453125
1069,67.95555877685547
1089,68.54508209228516
1108,67.93882751464844
1128,68.11984252929688
1152,68.55082702636719
1174,68.31596374511719
1198,68.53120422363281
1212,68.58036804199219
1226,68.4338607788086
1240,68.35637664794922
1254,68.64236450195312
1268,68.4922866821289
1269,68.28871154785156
