Step,Value
0,0.05169621855020523
1000,-25.637893676757812
2000,-18.24150848388672
3000,-3.0637853145599365
4000,21.70172882080078
5000,35.870914459228516
6000,42.01984786987305
7000,40.030338287353516
8000,37.962623596191406
9000,32.257320404052734
10000,25.62924575805664
11000,18.13050079345703
12000,10.645386695861816
13000,3.9856982231140137
14000,-4.060310363769531
15000,-7.927286624908447
16000,-13.142300605773926
17000,-17.322629928588867
18000,-18.15865135192871
19000,-21.323881149291992
20000,-23.690670013427734
21000,-23.13151741027832
22000,-21.975914001464844
23000,-22.314319610595703
24000,-21.740814208984375
25000,-18.77486801147461
26000,-18.056434631347656
27000,-16.890769958496094
28000,-15.503448486328125
29000,-14.69874382019043
30000,-12.26393985748291
31000,-10.578570365905762
32000,-9.162397384643555
33000,-7.965549468994141
34000,-7.6676836013793945
35000,-5.275489807128906
36000,-3.0548653602600098
37000,-2.956510305404663
38000,-1.4151235818862915
39000,0.5593612194061279
40000,2.7309677600860596
41000,3.811741352081299
42000,5.248446464538574
43000,7.667397975921631
44000,8.785640716552734
45000,9.558868408203125
46000,9.574033737182617
47000,10.133167266845703
48000,9.711592674255371
49000,11.080184936523438
50000,9.803300857543945
51000,9.268082618713379
52000,7.496114730834961
53000,7.85945987701416
54000,7.548762798309326
55000,6.569731712341309
56000,6.193608283996582
57000,6.539885997772217
58000,6.954588890075684
59000,5.865370273590088
60000,6.153526306152344
