Step,Value
0,2.7182817459106445
1000,2.4623682498931885
2000,2.234811782836914
3000,2.029879093170166
4000,1.839261770248413
5000,1.66195809841156
6000,1.5026710033416748
7000,1.359967827796936
8000,1.231902837753296
9000,1.1167224645614624
10000,1.0128068923950195
11000,0.9183613061904907
12000,0.8329596519470215
13000,0.7552106976509094
14000,0.6857317090034485
15000,0.6230875849723816
16000,0.5671266913414001
17000,0.516327977180481
18000,0.4700787365436554
19000,0.42787471413612366
20000,0.38956373929977417
21000,0.35491105914115906
22000,0.32355526089668274
23000,0.2950506806373596
24000,0.26927822828292847
25000,0.24591657519340515
26000,0.2247040569782257
27000,0.20541593432426453
28000,0.1879454404115677
29000,0.1719321310520172
30000,0.15744583308696747
31000,0.14445479214191437
32000,0.13279876112937927
33000,0.12217076867818832
34000,0.11252405494451523
35000,0.10383690148591995
36000,0.09590039402246475
37000,0.088767871260643
38000,0.08241766691207886
39000,0.07685926556587219
40000,0.0719296857714653
41000,0.06748946011066437
42000,0.06384441256523132
43000,0.060951441526412964
44000,0.058610279113054276
45000,0.056759852916002274
46000,0.05550124868750572
47000,0.05470414459705353
48000,0.05364878103137016
49000,0.05261029303073883
50000,0.05257529392838478
51000,0.052823152393102646
52000,0.05315493419766426
53000,0.05280667170882225
54000,0.052348025143146515
55000,0.05180802196264267
56000,0.0521358959376812
57000,0.05283551290631294
58000,0.05346257612109184
59000,0.0533173568546772
60000,0.05323616787791252
