Step,Value
27,-137.66961669921875
55,-168.4412384033203
84,-18.597719192504883
113,26.356822967529297
141,30.91936492919922
167,42.080047607421875
196,41.6889762878418
225,47.25688934326172
256,53.41222381591797
286,52.79744338989258
314,52.11320877075195
343,56.333980560302734
371,56.2328987121582
401,56.15763473510742
430,53.33835983276367
458,55.148963928222656
487,61.42272186279297
516,52.68262481689453
545,59.38825225830078
575,61.0736198425293
604,61.25205612182617
635,60.850494384765625
663,57.14331817626953
692,60.17179489135742
721,62.07362365722656
750,63.11116409301758
777,61.59613037109375
805,62.1948356628418
836,63.59519958496094
867,57.82711410522461
895,62.59585952758789
925,63.3853645324707
954,64.59618377685547
983,65.15070343017578
1010,65.8606948852539
1040,65.7662124633789
1069,65.30457305908203
1097,66.3681640625
1126,66.0845947265625
1157,65.57978057861328
1187,67.59274291992188
1216,67.23985290527344
1245,66.30411529541016
1276,66.94769287109375
1304,67.00936126708984
1333,67.66727447509766
1362,68.04776000976562
1392,68.01445007324219
1421,67.5009765625
1450,67.41517639160156
1479,67.36603546142578
1506,68.23746490478516
1535,68.20995330810547
1565,68.7537841796875
1588,68.7242202758789
1617,68.7772445678711
1646,68.77521514892578
1675,67.35611724853516
1705,68.10811614990234
1734,68.64842987060547
1739,68.84239959716797
