Step,Value
0,0.9377564191818237
1000,0.8967188596725464
2000,0.7508373856544495
3000,0.72102952003479
4000,0.8512310981750488
5000,0.8448365926742554
6000,0.7806473970413208
7000,0.7549519538879395
8000,0.7117604613304138
9000,0.6944373846054077
10000,0.624096691608429
11000,0.6185920238494873
12000,0.48270130157470703
13000,0.5190770626068115
14000,0.4852260649204254
15000,0.33242639899253845
16000,0.32663434743881226
17000,0.26136475801467896
18000,0.13083258271217346
19000,0.16358928382396698
20000,0.05873935669660568
21000,-0.011577710509300232
22000,-0.06106802076101303
23000,-0.14662373065948486
24000,-0.38782748579978943
25000,-0.374356210231781
26000,-0.5178903937339783
27000,-0.6046406030654907
28000,-0.6556141376495361
29000,-0.6417481899261475
30000,-0.8527796268463135
31000,-0.8205199241638184
32000,-0.9879851937294006
33000,-1.0309727191925049
34000,-1.1708667278289795
35000,-1.2285196781158447
36000,-1.3217217922210693
37000,-1.4426207542419434
38000,-1.4957571029663086
39000,-1.5187371969223022
40000,-1.6517927646636963
41000,-1.6974802017211914
42000,-1.702451229095459
43000,-1.8775603771209717
44000,-1.9556680917739868
45000,-1.8569207191467285
46000,-1.9432939291000366
47000,-1.9059594869613647
48000,-1.8509680032730103
49000,-2.0811972618103027
50000,-1.9179102182388306
51000,-2.0538554191589355
52000,-1.9793888330459595
53000,-2.0898990631103516
54000,-2.043971061706543
55000,-1.9951366186141968
56000,-2.005451202392578
57000,-1.9409687519073486
58000,-1.9199151992797852
59000,-1.9709404706954956
60000,-1.953142762184143
