Step,Value
0,2.456756353378296
1000,2.192150115966797
2000,-0.2932555079460144
3000,-0.7268320918083191
4000,-0.6569024920463562
5000,-0.5835704207420349
6000,-0.5644416213035583
7000,-0.31300681829452515
8000,-0.18840260803699493
9000,-0.23434992134571075
10000,-0.05642099305987358
11000,-0.3450111746788025
12000,-0.183010533452034
13000,-0.05533642694354057
14000,0.10709814727306366
15000,0.2547183632850647
16000,-0.18415279686450958
17000,-0.30173319578170776
18000,-0.23918481171131134
19000,-0.11578364670276642
20000,0.006218720227479935
21000,-0.0897337943315506
22000,-0.14173050224781036
23000,-0.13303156197071075
24000,-0.0872461348772049
25000,-0.016564320772886276
26000,-0.13062234222888947
27000,-0.05404682084918022
28000,-0.14245672523975372
29000,-0.016195964068174362
30000,-0.12832780182361603
31000,-0.17598195374011993
32000,-0.1609177142381668
33000,0.08166937530040741
34000,-0.08340688049793243
35000,-0.14716000854969025
36000,-0.10278673470020294
37000,-0.13808532059192657
38000,-0.2115735560655594
39000,-0.11711259186267853
40000,-0.04059142991900444
41000,-0.1412312537431717
42000,-0.0904352217912674
43000,-0.1706966906785965
44000,-0.1832074671983719
45000,-0.15773577988147736
46000,-0.12877102196216583
47000,-0.1076635867357254
48000,-0.12580247223377228
49000,-0.21852870285511017
50000,-0.22273798286914825
51000,-0.216885045170784
52000,-0.09720130264759064
53000,-0.10988612473011017
54000,-0.12168784439563751
55000,-0.1681491881608963
56000,-0.08353705704212189
57000,-0.08921714127063751
58000,-0.14148898422718048
59000,-0.12172336876392365
60000,-0.12891526520252228
