Step,Value
0,0.12563258409500122
1000,-21.84264373779297
2000,-23.132781982421875
3000,-3.9083855152130127
4000,13.688535690307617
5000,31.097795486450195
6000,32.39288330078125
7000,30.789995193481445
8000,27.291324615478516
9000,21.364450454711914
10000,10.708669662475586
11000,3.714650869369507
12000,-1.0603861808776855
13000,-9.441953659057617
14000,-14.915388107299805
15000,-16.98414421081543
16000,-21.916494369506836
17000,-25.1068115234375
18000,-24.589372634887695
19000,-26.149810791015625
20000,-25.949281692504883
21000,-23.293655395507812
22000,-23.58989715576172
23000,-23.152803421020508
24000,-20.639022827148438
25000,-20.181598663330078
26000,-17.746797561645508
27000,-15.406608581542969
28000,-13.722371101379395
29000,-12.184629440307617
30000,-9.847358703613281
31000,-7.997221946716309
32000,-5.876558303833008
33000,-3.8233673572540283
34000,-2.9152140617370605
35000,-0.627453088760376
36000,1.0240020751953125
37000,2.958308458328247
38000,4.344817161560059
39000,6.030063629150391
40000,6.588677406311035
41000,7.879889488220215
42000,8.811697959899902
43000,10.030014038085938
44000,11.456315994262695
45000,12.265809059143066
46000,13.791217803955078
47000,14.274922370910645
48000,15.32045841217041
49000,15.857952117919922
50000,15.875079154968262
51000,17.420753479003906
52000,17.690698623657227
53000,18.571102142333984
54000,19.08358383178711
55000,19.03342056274414
56000,19.812360763549805
57000,20.002201080322266
58000,20.50457191467285
59000,19.671546936035156
60000,20.038564682006836
