Step,Value
0,-1.0214314460754395
1000,21.599136352539062
2000,13.158814430236816
3000,-5.1763787269592285
4000,-25.37347412109375
5000,-38.400753021240234
6000,-41.84468078613281
7000,-40.84756088256836
8000,-38.29369354248047
9000,-33.24761962890625
10000,-31.264245986938477
11000,-23.297203063964844
12000,-17.778356552124023
13000,-13.6062593460083
14000,-9.967310905456543
15000,-6.9420318603515625
16000,-4.363643169403076
17000,-1.9100666046142578
18000,-0.25195497274398804
19000,1.5210636854171753
20000,2.3485052585601807
21000,3.0661115646362305
22000,2.2700581550598145
23000,3.116074800491333
24000,3.2697784900665283
25000,2.5499203205108643
26000,1.4612128734588623
27000,0.3929864168167114
28000,-0.6796953082084656
29000,-2.332674741744995
30000,-3.2896347045898438
31000,-4.738604545593262
32000,-6.22970724105835
33000,-8.066152572631836
34000,-9.240111351013184
35000,-10.617109298706055
36000,-12.330036163330078
37000,-13.734389305114746
38000,-14.707154273986816
39000,-16.104164123535156
40000,-17.23704719543457
41000,-18.317354202270508
42000,-19.09190559387207
43000,-19.927034378051758
44000,-20.55726432800293
45000,-20.515552520751953
46000,-21.938922882080078
47000,-22.76055908203125
48000,-23.509878158569336
49000,-23.951671600341797
50000,-24.999536514282227
51000,-26.229305267333984
52000,-27.063554763793945
53000,-27.812400817871094
54000,-28.57918930053711
55000,-29.11880874633789
56000,-29.78249740600586
57000,-30.048343658447266
58000,-30.748294830322266
59000,-31.234987258911133
60000,-31.55694580078125
