Step,Value
0,-0.7218193411827087
1000,0.5501065850257874
2000,0.029366303235292435
3000,-0.37857478857040405
4000,-0.49100297689437866
5000,-0.22310300171375275
6000,-0.27466505765914917
7000,-0.20031948387622833
8000,-0.2010466605424881
9000,-0.20745320618152618
10000,-0.16390414535999298
11000,-0.1844608336687088
12000,-0.16801472008228302
13000,-0.12874861061573029
14000,-0.14398713409900665
15000,-0.3047308325767517
16000,-0.14681144058704376
17000,-0.18184299767017365
18000,-0.15176387131214142
19000,-0.21725936233997345
20000,-0.16108651459217072
21000,-0.1968524008989334
22000,-0.22676368057727814
23000,-0.14279671013355255
24000,-0.23329921066761017
25000,-0.22607584297657013
26000,-0.16765423119068146
27000,-0.1768924742937088
28000,-0.1527835875749588
29000,-0.15886922180652618
30000,-0.05161924287676811
31000,-0.07625408470630646
32000,-0.12534399330615997
33000,-0.15414710342884064
34000,-0.16351790726184845
35000,-0.12751980125904083
36000,-0.18873091042041779
37000,-0.18024535477161407
38000,-0.12146420776844025
39000,-0.16477961838245392
40000,-0.18366499245166779
41000,-0.13262172043323517
42000,-0.13008232414722443
43000,-0.12762923538684845
44000,-0.14944715797901154
45000,-0.17104001343250275
46000,-0.16963143646717072
47000,-0.1647314578294754
48000,-0.15195079147815704
49000,-0.12459369003772736
50000,-0.1381179839372635
51000,-0.18332405388355255
52000,-0.18018217384815216
53000,-0.16676397621631622
54000,-0.1495949774980545
55000,-0.1821703463792801
56000,-0.14600081741809845
57000,-0.175059512257576
58000,-0.20635052025318146
59000,-0.1924864798784256
60000,-0.15718932449817657
