Step,Value
0,-136.56503295898438
256000,-89.86805725097656
512000,23.98738670349121
768000,49.94231414794922
1024000,49.789642333984375
1280000,40.76567077636719
1536000,47.6910400390625
1792000,55.802364349365234
2048000,58.066341400146484
2304000,61.4919319152832
2560000,60.698482513427734
2816000,55.851585388183594
3072000,60.40525817871094
3328000,60.87089920043945
3584000,62.74513626098633
3840000,62.71371841430664
4096000,63.931095123291016
4352000,64.0169677734375
4608000,63.924346923828125
4864000,61.427711486816406
5120000,62.23448181152344
5376000,63.137725830078125
5632000,61.7879638671875
5888000,59.54094314575195
6144000,59.44975662231445
6400000,51.37763214111328
6656000,62.29412841796875
6912000,64.21605682373047
7168000,64.4584732055664
7424000,66.26976013183594
7680000,67.04390716552734
7936000,67.58903503417969
8192000,66.06000518798828
8448000,65.90474700927734
8704000,65.98431396484375
8960000,65.81951904296875
9216000,66.98479461669922
9472000,65.85565185546875
9728000,67.05853271484375
9984000,66.66621398925781
10240000,67.03160095214844
10496000,67.44125366210938
10752000,67.3115234375
11008000,67.31615447998047
11264000,67.49791717529297
11520000,67.51577758789062
11776000,67.06739807128906
12032000,67.1579818725586
12288000,67.00910949707031
12544000,67.6908950805664
12800000,67.08746337890625
13056000,67.22452545166016
13312000,67.10668182373047
13568000,67.11725616455078
13824000,67.37220764160156
14080000,66.34180450439453
14336000,66.2652359008789
14592000,66.13153076171875
14848000,67.63277435302734
15104000,65.78244018554688
15360000,65.816162109375
