Step,Value
0,-0.043755512684583664
1000,-39.824275970458984
2000,-27.0599422454834
3000,-19.30009651184082
4000,-10.440759658813477
5000,-9.701043128967285
6000,-16.134544372558594
7000,-22.672405242919922
8000,-24.92146873474121
9000,-25.249065399169922
10000,-22.10675811767578
11000,-20.63381004333496
12000,-17.530010223388672
13000,-14.709617614746094
14000,-10.130905151367188
15000,-4.942070007324219
16000,0.3552260994911194
17000,5.203571796417236
18000,9.895432472229004
19000,13.773008346557617
20000,17.661060333251953
21000,21.161508560180664
22000,23.50090789794922
23000,25.498470306396484
24000,25.413848876953125
25000,24.79671859741211
26000,22.95737075805664
27000,21.167415618896484
28000,19.534391403198242
29000,19.85199546813965
30000,19.089027404785156
31000,19.637266159057617
32000,20.545879364013672
33000,21.85233497619629
34000,22.534854888916016
35000,23.82554054260254
36000,24.082162857055664
37000,24.223752975463867
38000,24.31144142150879
39000,24.069000244140625
40000,24.03050994873047
41000,22.83397674560547
42000,22.76259422302246
43000,21.9720516204834
44000,20.92831802368164
45000,20.413671493530273
46000,19.9277286529541
47000,19.241260528564453
48000,18.916675567626953
49000,19.937440872192383
50000,19.575176239013672
51000,20.614652633666992
52000,21.195022583007812
53000,22.005414962768555
54000,22.853628158569336
55000,23.15692138671875
56000,23.27871322631836
57000,23.66929817199707
58000,23.676416397094727
59000,23.480819702148438
60000,23.74749755859375
