Step,Value
0,0.9577722549438477
1000,0.699420690536499
2000,0.7100202441215515
3000,0.6806301474571228
4000,0.6893946528434753
5000,0.6377419233322144
6000,0.5707740187644958
7000,0.42265528440475464
8000,0.30700719356536865
9000,0.17007780075073242
10000,0.05198925733566284
11000,-0.1166212409734726
12000,-0.26451942324638367
13000,-0.295522004365921
14000,-0.6967745423316956
15000,-0.8526359796524048
16000,-0.9086582660675049
17000,-0.9571634531021118
18000,-1.0446299314498901
19000,-1.1633764505386353
20000,-1.320344090461731
21000,-1.5064795017242432
22000,-1.7134637832641602
23000,-1.8923124074935913
24000,-1.6845178604125977
25000,-1.7885551452636719
26000,-2.0219357013702393
27000,-2.0815117359161377
28000,-2.02834153175354
29000,-2.002199411392212
30000,-1.9567967653274536
31000,-2.0104639530181885
32000,-1.9449424743652344
33000,-2.0727248191833496
34000,-2.0378777980804443
35000,-1.907826542854309
36000,-2.0027050971984863
37000,-2.065493106842041
38000,-2.027143716812134
39000,-2.0123355388641357
40000,-1.987654685974121
41000,-1.9713830947875977
42000,-1.9709339141845703
43000,-2.0200212001800537
44000,-1.9854713678359985
45000,-2.0068717002868652
46000,-1.8434932231903076
47000,-1.9319573640823364
48000,-2.0305967330932617
49000,-1.962680459022522
50000,-2.002763032913208
51000,-2.0176353454589844
52000,-1.9852946996688843
53000,-2.1495120525360107
54000,-2.033541202545166
55000,-1.9726951122283936
56000,-1.9320024251937866
57000,-1.893325924873352
58000,-2.0439603328704834
59000,-2.0182952880859375
60000,-1.9865834712982178
