Step,Value
0,-2.669309616088867
1000,42.47984313964844
2000,24.283935546875
3000,15.702791213989258
4000,15.435789108276367
5000,17.43757438659668
6000,21.385026931762695
7000,27.051496505737305
8000,30.72782325744629
9000,33.663612365722656
10000,33.17548751831055
11000,32.200809478759766
12000,30.568782806396484
13000,27.951648712158203
14000,25.774559020996094
15000,21.22524642944336
16000,18.076282501220703
17000,14.041522979736328
18000,9.115897178649902
19000,4.156999111175537
20000,-1.5864313840866089
21000,-6.92387056350708
22000,-11.470264434814453
23000,-14.99889087677002
24000,-18.225879669189453
25000,-21.398601531982422
26000,-24.389755249023438
27000,-26.377016067504883
28000,-27.700069427490234
29000,-28.444425582885742
30000,-29.01337242126465
31000,-28.881696701049805
32000,-29.309484481811523
33000,-29.74761199951172
34000,-30.03569221496582
35000,-30.994726181030273
36000,-30.871681213378906
37000,-31.05068588256836
38000,-31.098838806152344
39000,-31.318687438964844
40000,-31.900516510009766
41000,-31.615083694458008
42000,-31.47501564025879
43000,-31.577926635742188
44000,-31.430784225463867
45000,-31.454824447631836
46000,-30.905065536499023
47000,-31.10814094543457
48000,-30.79047393798828
49000,-30.742916107177734
50000,-30.881221771240234
51000,-31.019424438476562
52000,-31.05533218383789
53000,-31.239316940307617
54000,-31.17382049560547
55000,-31.24730110168457
56000,-31.183500289916992
57000,-31.153898239135742
58000,-31.408315658569336
59000,-31.343393325805664
60000,-31.5777587890625
