Step,Value
0,0.0
1000,5.213669776916504
2000,5.676609992980957
3000,6.253363132476807
4000,5.213522911071777
5000,4.131229877471924
6000,5.305584907531738
7000,5.716531276702881
8000,6.344756603240967
9000,4.779338836669922
10000,4.9827680587768555
11000,5.361814022064209
12000,8.097622871398926
13000,4.076602935791016
14000,4.320882797241211
15000,4.431175231933594
16000,5.6164069175720215
17000,4.264780044555664
18000,6.825809001922607
19000,9.566452980041504
20000,5.498657703399658
21000,4.759552001953125
22000,5.876223564147949
23000,4.273706912994385
24000,4.4932861328125
25000,4.265346050262451
26000,5.3172430992126465
27000,4.8339362144470215
28000,3.6605489253997803
29000,4.743312835693359
30000,4.581110000610352
31000,5.1890740394592285
32000,8.60633659362793
33000,5.2877888679504395
34000,6.776235103607178
35000,5.470082759857178
36000,8.368232727050781
37000,4.461073875427246
38000,5.226259231567383
39000,5.2332000732421875
40000,7.002309799194336
41000,5.539589881896973
42000,6.454159259796143
43000,4.7891011238098145
44000,4.746324062347412
45000,5.297333717346191
46000,5.443964004516602
47000,5.744618892669678
48000,8.164860725402832
49000,9.604001998901367
50000,4.877903938293457
51000,4.627615928649902
52000,3.8503708839416504
53000,5.780383110046387
54000,4.261499881744385
55000,4.800250053405762
56000,5.011714935302734
57000,7.9820170402526855
58000,7.0447678565979
59000,4.789607048034668
60000,4.280066967010498
